,1991-01-01,1991-01-08,1991-01-16,1991-01-22,1991-01-30,1991-02-05,1991-02-11,1991-02-25,1991-03-04,1991-03-27,1991-04-01,1991-04-04,1991-04-08,1991-04-12,1991-04-15,1991-04-18,1991-04-23,1991-04-29,1991-05-06,1991-05-13,1991-05-23,1991-05-31,1991-06-06,1991-06-12,1991-06-17,1991-06-24,1991-07-01,1991-07-02,1991-07-03,1991-07-05,1991-07-08,1991-07-10,1991-07-12,1991-07-15,1991-07-17,1991-07-19,1991-07-22,1991-07-24,1991-07-29,1991-07-31,1991-08-05,1991-08-09,1991-08-12,1991-08-14,1991-08-16,1991-08-19,1991-08-21,1991-08-23,1991-08-26,1991-09-02,1991-09-04,1991-09-09,1991-09-12,1991-09-16,1991-09-25,1991-09-27,1991-09-30,1991-10-08,1991-10-10,1991-10-17,1991-10-24,1991-10-30,1991-11-04,1991-11-15,1991-11-18,1991-11-21,1991-11-25,1991-12-03,1991-12-17,1991-12-23,1991-12-29,1992-01-06,1992-01-13,1992-01-27,1992-02-03,1992-02-10,1992-02-17,1992-02-20,1992-02-25,1992-03-03,1992-03-10,1992-03-16,1992-03-21,1992-03-31,1992-04-09,1992-04-15,1992-04-28,1992-05-04,1992-05-13,1992-05-21,1992-05-25,1992-06-01,1992-06-08,1992-06-15,1992-06-23,1992-06-30,1992-07-06,1992-07-13,1992-07-26,1992-07-31,1992-08-02,1992-08-03,1992-08-15,1992-08-18,1992-08-24,1992-09-08,1992-09-18,1992-09-22,1992-09-29,1992-10-06,1992-10-19,1992-10-27,1992-11-04
15.693,1.034,1.018,1.011,1.006,1.077,1.04,1.032,1.015,1.019,1.017,1.034,1.007,1.083,1.143,1.007,1.085,1.055,1.006,1.073,1.088,1.096,1.107,1.053,1.074,1.059,1.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.993,1.021,1.017,1.014,1.004,1.028,1.049,1.021,1.025,1.019,0.995,1.026,1.005,1.085,1.129,1.006,1.026,1.07,1.004,1.078,1.079,1.076,1.096,1.066,1.085,1.03,1.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.293,1.039,1.025,1.013,0.989,1.036,1.055,1.031,1.024,1.038,0.993,1.026,1.011,1.058,1.125,1.001,1.012,1.045,0.994,1.085,1.082,1.111,1.09,1.043,1.102,1.029,1.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.592,1.034,1.027,1.017,1.033,1.037,1.051,1.051,1.038,1.019,1.016,1.022,0.995,1.04,1.139,1.006,1.014,1.033,0.986,1.103,1.088,1.131,1.112,1.047,1.128,1.037,1.138,1.144,1.219,1.185,1.169,1.12,1.178,1.177,1.537,1.364,1.255,1.204,1.561,1.533,1.563,1.674,1.665,1.764,1.694,1.612,1.416,1.678,1.58,1.469,1.373,1.334,1.369,1.211,1.405,1.25,1.315,1.332,1.508,1.265,1.367,1.376,1.633,1.354,1.229,1.221,1.329,1.304,1.687,1.365,1.407,1.338,1.251,1.264,1.223,1.185,1.317,1.412,1.238,1.32,1.362,1.268,1.466,1.189,1.178,1.21,1.226,1.137,1.577,1.303,1.787,1.495,1.247,1.374,1.481,1.767,1.668,1.689,2.0,1.631,1.517,1.726,1.591,1.805,2.337,2.238,1.98,1.963,2.119,2.457,1.522,1.603,2.201,2.007
16.892,1.054,1.017,1.057,1.035,1.09,1.051,1.061,1.067,1.048,0.992,1.033,0.993,1.027,1.156,1.031,1.01,1.027,1.002,1.102,1.077,1.145,1.094,1.029,1.119,1.032,1.122,1.16,1.095,1.14,1.133,1.129,1.13,1.099,1.51,1.436,1.225,1.288,2.215,1.727,1.625,2.054,1.867,2.117,1.902,1.845,1.896,2.115,1.967,1.783,1.7,1.518,1.487,1.34,1.416,1.685,1.521,1.462,1.527,1.378,1.298,1.758,1.656,1.471,1.299,1.252,1.423,1.363,1.933,1.343,1.448,1.34,1.252,1.306,1.386,1.197,1.395,1.497,1.261,1.431,1.427,1.272,1.589,1.244,1.211,1.299,1.281,1.18,1.832,1.577,2.599,1.98,1.488,1.752,1.914,2.198,2.585,1.876,2.424,1.96,1.772,1.978,1.935,2.246,3.186,2.506,2.264,2.425,2.511,2.539,1.952,2.061,2.449,2.327
17.192,1.076,1.043,1.081,1.037,1.151,1.066,1.104,1.089,1.038,1.048,1.045,1.016,1.032,1.212,1.045,1.049,1.03,1.017,1.134,1.082,1.149,1.106,1.031,1.15,1.039,1.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.492,1.08,1.081,1.095,1.086,1.131,1.084,1.126,1.092,1.073,1.06,1.064,1.031,1.056,1.25,1.043,1.081,1.054,1.029,1.152,1.093,1.135,1.123,1.047,1.148,1.045,1.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.792,1.098,1.109,1.103,1.08,1.091,1.081,1.134,1.125,1.089,1.084,1.063,1.044,1.082,1.311,1.06,1.101,1.08,1.06,1.161,1.088,1.159,1.13,1.07,1.149,1.053,1.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.091,1.12,1.115,1.126,1.09,1.12,1.106,1.135,1.119,1.119,1.105,1.093,1.063,1.09,1.372,1.068,1.12,1.078,1.051,1.16,1.107,1.165,1.137,1.076,1.136,1.055,1.193,1.179,1.109,1.161,1.168,1.243,1.467,7.807,12.921,9.833,5.863,6.338,3.251,2.779,2.72,2.543,2.438,2.658,3.682,4.029,3.911,6.021,5.849,3.413,2.996,2.571,2.827,2.455,2.785,3.054,3.233,3.476,3.732,2.774,2.329,2.386,2.291,2.634,2.338,2.464,2.348,2.411,3.034,2.014,2.557,2.787,1.738,1.931,1.897,3.788,1.9,3.36,2.141,2.03,3.713,2.386,2.529,1.965,3.467,2.863,1.829,1.761,5.604,5.53,5.875,5.267,4.014,3.193,3.048,4.322,4.227,5.553,3.48,3.338,3.707,2.128,3.737,4.351,4.247,3.947,4.293,4.772,5.167,4.348,5.095,5.574,4.48,4.176
18.391,1.147,1.135,1.153,1.112,1.138,1.137,1.146,1.115,1.141,1.122,1.104,1.077,1.11,1.295,1.076,1.095,1.053,1.055,1.199,1.132,1.165,1.145,1.093,1.136,1.075,1.18,1.202,1.093,1.159,1.179,1.259,13.169,15.978,15.727,16.241,9.678,5.156,2.091,2.205,1.662,2.098,3.936,6.52,4.669,5.163,4.624,7.093,6.694,3.822,3.002,2.813,2.946,3.627,3.572,4.424,3.403,4.453,4.27,3.332,2.42,2.517,3.046,3.108,2.618,2.74,2.994,2.702,3.431,2.48,2.968,2.718,2.012,2.274,2.143,5.622,2.132,5.811,2.791,3.01,3.111,4.887,4.173,2.631,3.875,2.824,2.253,2.14,5.301,6.353,4.843,4.21,4.58,3.41,3.584,5.513,4.744,5.827,4.195,2.647,3.79,1.909,4.676,5.482,5.019,4.626,4.79,5.603,6.322,4.929,5.924,5.378,4.742,5.591
18.691,1.174,1.171,1.153,1.131,1.138,1.14,1.156,1.143,1.153,1.137,1.121,1.094,1.105,1.318,1.081,1.105,1.116,1.064,1.214,1.126,1.173,1.145,1.094,1.153,1.087,1.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.991,1.184,1.15,1.148,1.141,1.149,1.142,1.17,1.153,1.151,1.145,1.133,1.093,1.099,1.345,1.074,1.099,1.124,1.089,1.215,1.131,1.182,1.156,1.098,1.171,1.1,1.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.291,1.142,1.146,1.146,1.153,1.177,1.156,1.18,1.157,1.145,1.129,1.124,1.1,1.112,1.391,1.095,1.111,1.115,1.069,1.23,1.126,1.179,1.152,1.1,1.171,1.127,1.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
